Sigla Empresa,Nombre,Fecha,Año,Número de Mes,Origen,Nombre,Ciudad Origen,Pais Origen,Destino,Nombre,Ciudad Destino,Pais Destino,Tráfico (N/I),Tipo Vuelo,Pasajeros,Carga + Correo (Kg)
0EC,SAE,7/1/2022 0:00,2022,7,7HM,LLANO CAUCHO,CUMARIBO,COLOMBIA,A07,MORICHAL VIEJO,SAN JOSE DEL GUAVIARE,COLOMBIA,N,T,0.00,45.00
0EC,SAE,7/1/2022 0:00,2022,7,7HM,LLANO CAUCHO,CUMARIBO,COLOMBIA,PCE,CUMARIBO,PUERTO CARRENO,COLOMBIA,N,T,0.00,0.00
0EC,SAE,7/1/2022 0:00,2022,7,7HM,LLANO CAUCHO,CUMARIBO,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,0.00,0.00
0EC,SAE,7/1/2022 0:00,2022,7,7IV,AKAE,LA PRIMAVERA,COLOMBIA,A06,EL ENCANTO,EL ENCANTO,COLOMBIA,N,T,0.00,27.00
0EC,SAE,7/1/2022 0:00,2022,7,A06,EL ENCANTO,EL ENCANTO,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,0.00,0.00
0EC,SAE,7/1/2022 0:00,2022,7,A07,MORICHAL VIEJO,SAN JOSE DEL GUAVIARE,COLOMBIA,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,COLOMBIA,N,T,0.00,45.00
0EC,SAE,7/1/2022 0:00,2022,7,A08,EL PLACER,CUMARIBO,COLOMBIA,PCE,CUMARIBO,PUERTO CARRENO,COLOMBIA,N,T,2.00,27.00
0EC,SAE,7/1/2022 0:00,2022,7,A08,EL PLACER,CUMARIBO,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,0.00,0.00
0EC,SAE,7/1/2022 0:00,2022,7,ACR,ARARACUARA,ARARACUARA,COLOMBIA,LCH,LA CHORRERA - VIRGILIO BARCO VARGAS,LA CHORRERA,COLOMBIA,N,T,0.00,45.00
0EC,SAE,7/1/2022 0:00,2022,7,BEN,BENEFICENCIA DE CUNDINAMARCA,BOGOTA,COLOMBIA,EYP,EL YOPAL,EL YOPAL,COLOMBIA,N,T,0.00,0.00
