Fecha,Sigla Empresa,Nombre,Origen,Nombre,Ciudad Origen,Departamento Origen,Pais Origen,Continente Origen,Destino,Nombre,Ciudad Destino,Departamento Destino,Pais Destino,Continente Destino,Tipo de Equipo,Tipo Vuelo,Tráfico,Número de Vuelos,Horas Bloque,Sillas Ofrecidas,Pasajeros A Bordo,Pasajeros Tránsito,Carga Ofrecida (Kg.),Carga + Correo A Bordo (Kg.),Carga Tránsito (Kg.)
01-Jul-22 00:00:00,0EC,SAE,7HM,LLANO CAUCHO,CUMARIBO,VICHADA,COLOMBIA,SURAMERICA,A07,MORICHAL VIEJO,SAN JOSE DEL GUAVIARE,GUAVIARE,COLOMBIA,SURAMERICA,P28A,T,N,1.00,1,0.00,0.00,0.00,0.00,45.00,0.00
01-Jul-22 00:00:00,0EC,SAE,7HM,LLANO CAUCHO,CUMARIBO,VICHADA,COLOMBIA,SURAMERICA,PCE,CUMARIBO,PUERTO CARRENO,VICHADA,COLOMBIA,SURAMERICA,P28A,T,N,1.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00
01-Jul-22 00:00:00,0EC,SAE,7HM,LLANO CAUCHO,CUMARIBO,VICHADA,COLOMBIA,SURAMERICA,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,P28A,T,N,1.00,1.83,0.00,0.00,0.00,0.00,0.00,0.00
01-Jul-22 00:00:00,0EC,SAE,7IV,AKAE,LA PRIMAVERA,VICHADA,COLOMBIA,SURAMERICA,A06,EL ENCANTO,EL ENCANTO,AMAZONAS,COLOMBIA,SURAMERICA,P28A,T,N,1.00,0.5,0.00,0.00,0.00,0.00,27.00,0.00
01-Jul-22 00:00:00,0EC,SAE,A06,EL ENCANTO,EL ENCANTO,AMAZONAS,COLOMBIA,SURAMERICA,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,P28A,T,N,1.00,1.5,0.00,0.00,0.00,0.00,0.00,0.00
01-Jul-22 00:00:00,0EC,SAE,A07,MORICHAL VIEJO,SAN JOSE DEL GUAVIARE,GUAVIARE,COLOMBIA,SURAMERICA,IDA,CESAR GAVIRIA TRUJILLO,PUERTO INIRIDA,GUAINIA,COLOMBIA,SURAMERICA,P28A,T,N,1.00,2.58,0.00,0.00,0.00,0.00,45.00,0.00
01-Jul-22 00:00:00,0EC,SAE,A08,EL PLACER,CUMARIBO,VICHADA,COLOMBIA,SURAMERICA,PCE,CUMARIBO,PUERTO CARRENO,VICHADA,COLOMBIA,SURAMERICA,P28A,T,N,1.00,0.5,0.00,2.00,0.00,0.00,27.00,0.00
01-Jul-22 00:00:00,0EC,SAE,A08,EL PLACER,CUMARIBO,VICHADA,COLOMBIA,SURAMERICA,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,P28A,T,N,1.00,2.33,0.00,0.00,0.00,0.00,0.00,0.00
01-Jul-22 00:00:00,0EC,SAE,ACR,ARARACUARA,ARARACUARA,CAQUETA,COLOMBIA,SURAMERICA,LCH,LA CHORRERA - VIRGILIO BARCO VARGAS,LA CHORRERA,AMAZONAS,COLOMBIA,SURAMERICA,C207,T,N,1.00,0.5,0.00,0.00,0.00,0.00,45.00,0.00
01-Jul-22 00:00:00,0EC,SAE,BEN,BENEFICENCIA DE CUNDINAMARCA,BOGOTA,DISTRITO CAPITAL,COLOMBIA,SURAMERICA,EYP,EL YOPAL,EL YOPAL,CASANARE,COLOMBIA,SURAMERICA,P28A,T,N,1.00,1.83,0.00,0.00,0.00,0.00,0.00,0.00
